0.7043,0.04615,0.02214,2.252,0.008699,0.01505
0.5158,-0.06581,0.06089,2.253,0.008009,0.0179
0.9971,-0.1446,0.23,2.263,0.01434,0.02498
1.411,-0.03862,0.0387,2.252,0.02735,0.02604
0.8009,0.0707,0.02838,2.281,0.008762,0.01805
0.8537,-0.05428,-0.01144,2.272,0.01878,0.01428
0.7418,-0.007576,0.1931,2.269,0.03261,0.012
0.945,0.02276,0.1319,2.303,0.02045,0.01319
0.8275,-0.09663,-0.04811,2.305,0.02309,0.01203
0.9641,0.069,0.3593,2.28,0.0117,0.02908
0.5925,0.0244,0.1444,2.285,0.008085,0.03698
0.8595,0.02332,0.117,2.295,0.01644,0.02274
0.8616,-0.0123,0.08608,2.297,0.009907,0.02939
1.596,-0.1527,0.1094,2.268,0.02652,0.02772
1.783,-0.09241,0.05204,2.268,0.0336,0.03665
1.249,-0.09613,-0.02682,2.305,0.02385,0.03169
0.9992,-0.2314,0.00274,2.252,0.04999,0.01342
1.114,-0.1363,-0.06579,2.265,0.05115,0.02268
1.766,-0.006595,0.2272,2.253,0.047,0.0371
1.455,-0.3838,0.1383,2.258,0.0511,0.03119
1.809,-0.05487,-0.04142,2.267,0.06067,0.0342
0.8603,-0.1951,0.04248,2.278,0.04154,0.01642
1.116,-0.201,0.04255,2.289,0.0409,0.01736
0.7199,-0.3747,0.1042,2.288,0.05176,0.01281
0.9263,-0.1649,-0.03577,2.3,0.04971,0.01346
0.5706,-0.2685,0.01977,2.296,0.07516,0.0115
1.635,-0.1719,0.1063,2.286,0.04499,0.02631
1.651,-0.2121,0.09625,2.286,0.04904,0.02604
1.393,-0.3305,0.2044,2.299,0.04122,0.0264
1.633,-0.1547,0.1521,2.294,0.05218,0.03173
1.528,-0.04398,0.1336,2.28,0.06599,0.02817
1.607,-0.1083,-0.07319,2.282,0.06083,0.03213
1.692,-0.243,0.02626,2.272,0.07237,0.0343
1.381,-0.1131,0.2274,2.29,0.07464,0.03009
1.651,-0.03672,0.07772,2.261,0.02426,0.03936
1.849,-0.09278,0.04358,2.254,0.02521,0.05637
1.968,-0.1085,0.07799,2.267,0.0378,0.05517
1.723,-0.05992,0.08866,2.255,0.02454,0.06181
1.951,-0.08641,0.09186,2.259,0.03265,0.0589
1.964,-0.1355,0.0924,2.26,0.03458,0.0762
1.96,-0.1478,0.1833,2.26,0.02944,0.07554
